S	550	100
B	540	100
S	549	40
B	541	100
S	548	50
B	542	100
S	547	100
B	543	50
S	546	100
B	544	100
S	545	60
B	545	50
S	545	50
B	545	100
B	546	20
B	550	10
S	540	50
B	600	500
S	545	100
S	546	100
S	547	100
S	550	100
B	540	100
S	549	40
B	541	100
S	548	50
B	542	100
S	547	100
B	543	50
S	546	100
B	544	100
S	545	60
B	545	50
S	545	50
B	545	100
B	546	20
B	550	10
S	540	50
B	600	500
S	545	100
S	546	100
S	547	100
S	550	100
B	540	100
S	549	40
B	541	100
S	548	50
B	542	100
S	547	100
B	543	50
S	546	100
B	544	100
S	545	60
B	545	50
S	545	50
B	545	100
B	546	20
B	550	10
S	540	50
